drug_set_id,ds_version,plate_date,plate_id,scan_id,format,assay,cell_line_name,cell_id,drug_id,maxConc,maxConcPos,IC_ID,IC_50_EST,IC_50_LOW,IC_50_HIGH,AUC
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1057,0.25,109,1882021,-3.851481,-4.811635,-2.985732,0.716488
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1058,4,157,1882022,-2.651671,-3.652911,-1.794034,0.673721
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1059,2,253,1882023,2.171241,0.959669,5.074313,0.939782
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1066,5,349,1882024,4.695278,2.556672,8.826199,0.978625
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1068,10,42,1882025,-1.543106,-2.033386,-0.97444,0.477074
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1072,5,90,1882026,1.792261,0.325231,3.840446,0.826053
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1073,20,296,1882027,4.222917,2.412328,6.283387,0.892879
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1083,1,138,1882028,2.691536,0.459903,6.447085,0.958102
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1089,20,171,1882029,2.436633,1.584708,3.455473,0.783636
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1093,5,37,1882030,4.552748,2.474836,8.733637,0.978625
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1114,329,267,1882031,6.472701,5.48774,8.113727,0.854705
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1129,10,234,1882032,4.046428,2.601534,7.493947,0.953829
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1138,10,282,1882033,1.741833,1.22795,2.400937,0.79321
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1194,10,114,1882034,0.314654,-1.286128,2.312572,0.765741
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1218,1,306,1882035,-1.265085,-1.858218,-0.587787,0.734908
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1241,10,354,1882036,3.777921,2.614624,6.395901,0.942836
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1242,10,56,1882037,-0.538131,-0.953339,-0.117206,0.559158
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1268,5,258,1882038,6.275678,3.303325,10.747605,0.995546
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1372,1,301,1882039,-6.015217,-6.802783,-5.326622,0.488552
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1373,10,330,1882040,3.169263,1.222565,5.239001,0.919285
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1374,1,162,1882041,-4.932282,-5.424236,-4.452973,0.413787
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,1549,5,66,1882042,-0.369648,-1.063019,0.52549,0.667995
730,f,08-Oct-13,68124,81386,17,a,SW1116,2164,4000,1,186,1882043,1.081242,-0.25027,3.502877,0.856959
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1001,2000,27,1882200,3.064836,2.585109,3.549199,0.44226
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1003,0.1,75,1882201,-3.239045,-3.543741,-2.917497,0.761402
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1005,6,219,1882202,-0.374159,-0.999369,0.528977,0.611196
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1007,0.0125,123,1882203,-5.82067,-6.153683,-5.353851,0.713106
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1011,2,315,1882204,5.547136,2.759471,9.824184,0.998259
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1012,10,51,1882205,0.888751,0.281337,1.178479,0.737591
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1013,2,99,1882206,3.015932,1.554486,5.919452,0.966952
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1017,5,147,1882207,-5.909335,-11.265211,-1.877268,0.510731
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1019,2,243,1882208,2.42131,0.845501,7.917486,0.945014
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1020,5,291,1882209,4.95611,2.910207,8.706227,0.974968
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1021,2,339,1882210,4.174453,1.902706,8.104645,0.973118
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1023,2,32,1882211,5.479153,2.720548,9.664632,0.998337
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1024,2,80,1882212,-1.157289,-1.890633,0.259269,0.674041
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1025,10,128,1882213,6.411419,3.906141,10.79939,0.992201
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1026,1,176,1882214,-5.129191,-5.746995,-4.627731,0.471448
730,f,08-Oct-13,68132,81403,17,a,SW1417,2167,1029,2,224,1882215,5.432878,2.697264,9.545728,0.995503
