Hugo_Symbol	Entrez_Gene_Id	M032_Pre	M032_R1	M032_R2	M032_R3	M032_R5	M032_R6
JHDM1D	80853	3.23553357106303	3.59624948756068	3.67675151376175	3.3601629058611	6.56848655079164	3.59756164266865
ETV1	2115	6.29540343025745	5.48049183109682	4.76938601722193	5.37364893031394	6.42009745607056	5.78807275893553
AGK	55750	5.87777704152888	5.55419499486714	7.72863659043188	5.66998030351296	6.12339894276619	9.53297938742519
ALDH3B1	221	3.73973916802447	4.98697671387641	4.37503265632348	5.19828022818515	4.3258564686552	4.26724651859658
PHTF2	57157	5.7510230066972	5.03978494637815	4.76938601722193	4.67487247627882	5.73056955198049	5.33119808663054
CCL26	10344	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513	2.96805980835339	2.20439665466513
FARP2	9855	8.16754550539572	7.04252306868444	6.78815485306464	7.59363741015133	8.24748095778761	8.20512439759745
GGCT	79017	4.89688572591109	4.93207164235646	5.53692198292888	4.7630034293641	5.13123029677059	4.80506537675542
DBF4	10926	3.23553357106303	2.20439665466513	2.20439665466513	2.20439665466513	2.96805980835339	2.20439665466513
IFRD1	3475	7.15510184237802	7.43932354054878	7.81834935440721	7.40723869675207	6.87557311997473	7.97951972138744
COX10	1352	2.8080630133522	3.42072466449342	3.67675151376175	3.60269483174414	3.84256846245073	2.84661518011193
GTF2IRD1	9569	6.33997708131425	6.13548760464533	6.41533211941742	5.37364893031394	6.36314823664254	6.92347034313562
PAF1	54623	7.34159947982958	7.39032868987435	7.31023834219672	7.25337728621334	7.07992367079191	7.18543236717646
VPS41	27072	8.06979078663498	7.89759230843025	7.87090450354051	7.78951671416331	8.32981382425189	8.6771365901063
ARHGAP44	9912	3.23553357106303	3.42072466449342	3.15902538125815	4.1170291283317	3.595318021956	3.45950805503529
ELAC2	60528	8.06538647506637	8.1828635819782	8.26374903561687	8.57130478701503	8.18985914264817	8.70308404873271
SCIN	85477	3.83595925662444	4.38846350842153	4.65036661687313	3.96901012906246	3.98224866864773	3.71988016611992
ARSD	414	4.41425214460053	3.74704194778429	3.3635857343891	3.80032984434565	4.16571169236674	3.71988016611992
PNPLA4	8228	6.16927836668863	5.81577978561091	5.98393112353628	5.37364893031394	5.71236011927233	5.97108465441675
ADIPOR2	79602	5.63601463302641	4.46974039200569	4.29616787642075	4.24937210646663	5.65628757903687	4.70281611087749
CDKL3	51265	3.23553357106303	3.42072466449342	2.88546166182359	3.03227131852234	2.96805980835339	3.59756164266865
PRSS21	10942	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513	2.84661518011193
MARK4	57787	5.77294830044845	5.93049425597359	5.72139581861441	6.12398185078409	6.19048432766201	5.99239397814818
PROM1	8842	4.35480818309552	2.20439665466513	2.88546166182359	3.03227131852234	3.595318021956	3.45950805503529
CCDC124	115098	6.35453214846419	6.6002728763896	7.12780706254877	6.59010895904756	6.13707005009247	6.50284629467007
CEACAM21	90273	4.007621593684	3.88014039241458	2.88546166182359	4.1170291283317	3.49874688560142	2.84661518011193
PAFAH1B1	5048	4.89688572591109	4.54631089152221	5.16306947479751	4.24937210646663	4.8565949376348	4.47165982153178
NOS2	4843	3.38715415283304	4.10871389215343	2.20439665466513	3.03227131852234	2.96805980835339	2.84661518011193
DNAH9	1770	5.37351024146423	3.20690805475602	3.3635857343891	4.47916440210667	4.82240783331473	4.53329991914593
KIAA0100	9703	8.53230761739804	8.06921952312955	8.00038462654556	7.88783724365275	8.21254202525184	8.30593734888753
GAS7	8522	8.60085397998799	8.02498480768615	8.14608888226335	8.33387638903343	9.58103507093974	8.91772943909118
TRAPPC6A	79090	6.42517037081758	5.90266960242303	6.53441619018202	6.12398185078409	5.71236011927233	6.18964211094724
MATK	4145	4.15810203211784	7.0297759555361	3.67675151376175	5.75642019879956	4.46837756696937	3.29947951962511
CD79B	974	2.20439665466513	2.92026136519029	4.02536812991994	3.3601629058611	3.13445734268975	2.20439665466513
SCN4A	6329	2.20439665466513	2.20439665466513	2.20439665466513	3.03227131852234	2.74750173979235	2.20439665466513
ST7L	54879	4.29252250877362	4.54631089152221	4.44940734225704	4.47916440210667	4.3258564686552	4.19124723543371
TKTL1	8277	3.38715415283304	3.88014039241458	3.15902538125815	3.60269483174414	3.49874688560142	3.29947951962511
PAX6	5080	2.20439665466513	2.20439665466513	2.20439665466513	3.03227131852234	2.74750173979235	2.20439665466513
RPUSD1	113000	4.007621593684	4.54631089152221	4.98020394627829	4.36931867120386	4.51265266018137	4.85345313425425
RHBDF1	64285	7.12152772859013	6.6677094935501	7.3197263880926	7.04742031205735	7.08696213901272	7.74355186061309
LUC7L	55692	8.35602992173006	9.10347813538008	9.3548444313764	9.10436737834719	8.26618767397389	9.35826875480956
CACNA2D2	9254	2.20439665466513	2.20439665466513	3.15902538125815	2.20439665466513	2.20439665466513	2.20439665466513
BAIAP3	8938	3.83595925662444	3.42072466449342	3.67675151376175	4.1170291283317	3.6839239310241	3.93099723770223
TSR3	115939	6.74512920281275	6.7477842858706	7.12780706254877	6.70263472232558	6.52763170254771	6.24387665167465
PIGQ	9091	6.10178709634885	5.03978494637815	5.63215686053515	5.42755789965926	5.81827456702345	5.71288615645344
CRAMP1L	57585	2.8080630133522	3.20690805475602	3.67675151376175	3.60269483174414	2.74750173979235	2.20439665466513
TEAD3	7005	5.15546802286127	5.03978494637815	4.51981256494868	4.92383076462322	4.78734447800054	5.11273291504108
SELE	6401	3.63459467899756	5.51782364664395	5.43480894696802	3.80032984434565	5.10326761209626	4.11040717257858
DNAJC11	55735	6.95992672907842	6.97762742934741	6.90630614571572	7.17760905814259	7.30180607258575	7.59203679667567
FMO3	2328	2.20439665466513	3.42072466449342	2.88546166182359	3.60269483174414	2.74750173979235	2.20439665466513
MYLIP	29116	4.67702660741087	5.32042215366359	4.71118179674233	4.36931867120386	5.13123029677059	4.70281611087749
E2F2	1870	2.8080630133522	2.92026136519029	2.88546166182359	3.03227131852234	2.74750173979235	2.20439665466513
PSMB1	5689	8.89938499864722	8.71540900462391	9.04482155772383	8.68503292232353	8.26928200237055	8.41200914600562
SYN1	6853	2.8080630133522	2.20439665466513	3.15902538125815	2.20439665466513	2.20439665466513	2.20439665466513
JARID2	3720	5.89784779587061	5.72323924567708	4.58667876934559	5.19828022818515	6.12339894276619	6.15230934859224
CDKL5	6792	2.20439665466513	2.20439665466513	2.20439665466513	2.20439665466513	3.27247250464334	3.10543261539053
CAMK1G	57172	2.20439665466513	3.42072466449342	2.20439665466513	2.20439665466513	2.20439665466513	2.84661518011193
NADK	65220	6.51856138662443	6.68408538906113	7.17039157866587	7.238539232808	6.58848616018308	6.5465982532246
